Ammo_12Ga, Consumable, 70, Common
Item_MotorcycleHelmet, Armor, 800, Common
Item_Mudcake, Consumable, 50, 280, Common
Item_MulledWine, Consumable, 30, 200, Common
Item_MushroomFried, Consumable, 15, 130, Common
Item_MushroomOmelette, Consumable, 20, 70, Common
Item_MushroomSkewer, Consumable, 15, 100, Common
Item_MushroomSoup, Consumable, 20, 70, Common
Item_Mutagen, Misc, 4000, Common
Item_MycotaSquamata, Consumable, 5, 120, Common
Item_MysteryMeat, Consumable, 15, 60, Common
Item_Nigiri, Consumable, 20, 210, Common
Item_Nuggets, Consumable, 25, 80, Rare
Item_NutMix, Consumable, 25, 200, Common
Item_NutSpread, Consumable, 40, 220, Common
Item_Oats, Consumable, 10, 50, Common
Item_OfficeShirt, Armor, 500, Rare
Item_OilLamp, Gadget, 100, Epic
Item_OldTimeySuit, Armor, 1500, Rare
Item_Omelette, Consumable, 22, 50, Common
Item_Onigiri, Consumable, 35, 210, Common
Item_Pancreas, Misc, 110, Common
Item_Paper, Misc, 4, Common
Item_Parka, Armor, 700, Rare
Item_PastaBolognese, Consumable, 50, 250, Common
Item_Peanut, Consumable, 5, 20, Common
Item_PeanutButter, Consumable, 45, 250, Common
Item_PegLeg, Armor, 610, Common
Item_PillowArmor, Armor, 720, Uncommon
Item_PineNut, Consumable, 5, 20, Common
Item_PithHelmet, Armor, 700, Common
Item_PizzaLarge, Consumable, 150, 400, Common
Item_PizzaSlice, Consumable, 100, 150, Common
Item_PlainWhiteTee, Armor, 150, Common
Item_PlateCarrier, Armor, 4000, Rare
Item_PlatformShoe, Armor, 350, Uncommon
Item_PocketSand, Gadget, 100, Epic
Item_PoisonGum, Consumable, 150, Common
Item_PoliceHat, Armor, 600, Uncommon
Item_PoliceUniform, Armor, 700, Rare
Item_Polsa, Consumable, 20, 30, Common
Item_Polse, Consumable, 15, 50, Common
Item_PopeHat, Armor, 2000, Common
Item_Porridge, Consumable, 15, 30, Common
Item_Potato, Consumable, 5, 60, Common
Item_PotatoSalad, Consumable, 15, 90, Common
Item_Poutine, Consumable, 35, 225, Common
Item_PowerBar, Consumable, 10, 30, Common
Item_PrisonKey, Misc, 1000000, Common
Item_Pyjama, Armor, 400, Rare
Item_PyttIPanna, Consumable, 25, 200, Common
Item_Raclette, Consumable, 50, 300, Common
Item_Raincoat, Armor, 800, Rare
Item_Ramen, Consumable, 40, 150, Common
Item_RamenTori, Consumable, 40, 150, Common
Item_RampartsKey, Misc, 0, Common
Item_RangeFinder, Misc, 1450, Epic
Item_RatCage, Gadget, 100, Epic
Item_Razorang, Gadget, 100, Epic
Item_RazorBlossom, Gadget, 100, Epic
Item_Refrigerator, Misc, 10, Epic
Item_Rhubarb, Consumable, 6, 20, Common
Item_RhubarbPie, Consumable, 30, 80, Common
Item_RhubarbPorridge, Consumable, 25, 20, Common
Item_RhubarbSauce, Consumable, 20, 40, Common
Item_Rice, Consumable, 5, 30, Common
Item_RiceCake, Consumable, 15, 20, Common
Item_Risalamalta, Consumable, 25, 90, Common
Item_Risgrynsgrot, Consumable, 18, 90, Common
Item_RobotBrain, Misc, 500, Common
Item_RobotControlUnit, Misc, 250, Common
Item_RobotEye, Misc, 170, Common
Item_RobotFlesh, Misc, 125, Common
Item_RobotHeart, Misc, 350, Common
Item_RobotHydraul, Misc, 240, Common
Item_RobotJoint, Misc, 230, Common
Item_RobotPlate, Misc, 140, Common
Item_RobotSeptacoil, Misc, 100, Common
Item_RobotSoulCapsule, Misc, 800, Common
Item_Rock, Misc, 10, Common
Item_Rodsopp, Consumable, 5, 15, Common
Item_RodsoppPaste, Consumable, 50, Common
Item_Rollerblade, Armor, 380, Rare
Item_RoundGlasses, Armor, 200, Common
Item_Rubber, Misc, 10, Common
Item_RubberBoot, Armor, 250, Uncommon
Item_RudolfNose, Armor, 300, Common
Item_RunningShoes, Armor, 700, Rare
Item_Safe, Misc, 10, Legendary
Item_SafetyVest, Armor, 400, Rare
Item_Salt, Consumable, 1, 10, Common
Item_SaltedSandfish, Consumable, 25, 100, Common
Item_SamuraiArmor, Armor, 2000, Rare
Item_SandFish, Consumable, 10, 40, Common
Item_SandwichBread, Consumable, 15, 80, Common
Item_SandwichBuddy, Consumable, 0, 1000, Common
Item_SandwichButter, Consumable, 15, 60, Common
Item_SandwichCheese, Consumable, 20, 85, Common
Item_SandwichLeverpastej, Consumable, 20, 110, Common
Item_SandwichNutSpread, Consumable, 20, 80, Common
Item_SandwichPeanutbutter, Consumable, 25, 110, Common
Item_SandwichPeanutbutterJelly, Consumable, 35, 130, Common
Item_SantaCoat, Armor, 700, Rare
Item_SantaHat, Armor, 600, Common
Item_Sashimi, Consumable, 40, 220, Common
Item_Sausage, Consumable, 30, 60, Common
Item_SausageOmelette, Consumable, 42, 110, Common
Item_SausageOnStick, Consumable, 40, 200, Common
Item_SausageSoup, Consumable, 30, 135, Common
Item_Sawdust, Misc, 10, Common
Item_ScubaTank, Misc, 1450, Epic
Item_Seaweed, Consumable, 5, 30, Common
Item_SheriffBadge, Misc, 1450, Epic
Item_ShieldBelt, Gadget, 100, Epic
Item_Shoe, Armor, 380, Uncommon
Item_Shovel, Gadget, 100, Epic
Item_ShrewEye, Misc, 40, Common
Item_ShrewFlesh, Misc, 70, Common
Item_ShrewSkin, Misc, 20, Common
Item_ShrinkRay, Gadget, 100, Epic
Item_Shurikens, Gadget, 100, Epic
Item_Silltalrik, Consumable, 20, 90, Common
Item_SkiGoggles, Armor, 200, Common
Item_SmokeGrenade, Gadget, 100, Epic
Item_Snail, Misc, 20, Common
Item_Sneaker, Armor, 380, Common
Item_Snus, Consumable, 180, Rare
Item_Sock, Armor, 100, Common
Item_Soda, Consumable, 30, Common
Item_Solution, Consumable, 0, 40, Common
Item_Spagetti, Consumable, 0, 30, Common
Item_SpanishOmelette, Consumable, 30, 220, Common
Item_SpiceMix, Misc, 30, Common
Item_Spleen, Misc, 40, Common
Item_SportsDrink, Consumable, 120, Common
Item_SpringCoilBoots, Armor, 1000, Rare
Item_SquareGlasses, Armor, 300, Common
Item_SteelHelmet, Armor, 2500, Common
Item_Stew, Consumable, 20, 65, Common
Item_Stick, Misc, 4, Common
Item_Stout, Consumable, 15, 40, Common
Item_StraightJacket, Armor, 250, Rare
Item_Sugar, Consumable, 10, 30, Common
Item_Suitcase, Misc, 10, Epic
Item_SulfurCap, Armor, 300, Common
Item_SulfurHoodie, Armor, 1000, Rare
Item_Sunglasses, Armor, 460, Common
Item_Surstromming, Consumable, 0, 350, Common
Item_SuspensorShield, Gadget, 100, Epic
Item_Svinto, Misc, 90, Common
Item_SwedishPancakes, Consumable, 30, 220, Common
Item_SwingDing, Consumable, 5, 10, Common
Item_SylvesterHat, Armor, 200, Common
Item_TankerHelmet, Armor, 1000, Common
Item_Thyroid, Misc, 70, Common
Item_TitaniumHelmet, Armor, 3400, Common
Item_Toaster, Gadget, 100, Epic
Item_ToastSkagen, Consumable, 15, 150, Common
Item_Tongue, Misc, 100, Common
Item_TongueOnStick, Consumable, 20, 120, Common
Item_Tracksuit, Armor, 800, Rare
Item_TrappedAngel, Gadget, 100, Epic
Item_Tunic, Armor, 500, Common
Item_TurtleShell, Armor, 1500, Rare
Item_Unagi, Consumable, 60, 400, Common
Item_UsedRubber, Misc, 150, Common
Item_VacuumCleaner, Consumable, 15, 40, Common
Item_VampireHeart, Gadget, 100, Epic
Item_VelvetBell, Consumable, 1, 10, Common
Item_Vibraport, Gadget, 100, Epic
Item_VoodooDoll, Gadget, 100, Epic
Item_Walnut, Consumable, 5, 40, Common
Item_Wardrobe, Misc, 20, Legendary
Item_WeaponRack0, Misc, 30, Epic
Item_WeaponRack1, Misc, 30, Epic
Item_WeaponRepairKit, Misc, 3000, Uncommon
Item_WetWipes, Misc, 100, Common
Item_Wine, Consumable, 30, 200, Common
Item_WinterScarf, Armor, 900, Common
Item_WoodenArmor, Armor, 950, Rare
Item_WoodenCross, Gadget, 100, Uncommon
Item_Worm, Consumable, 5, 10, Common
Item_YaketySax, Misc, 1200, Epic
Item_Ygg, Armor, 430, Uncommon
Manual_BlackGuildCooking, Consumable, 15000, Rare
Manual_ChequeredCookbook, Consumable, 30000, Legendary
Manual_CookingCastle, Consumable, 20000, Rare
Manual_CookingDungeon, Consumable, 15000, Rare
Manual_CookingFortress, Consumable, 15000, Rare
Manual_CookingSewers, Consumable, 15000, Rare
Manual_DesertCooking, Consumable, 15000, Epic
Manual_ForestCooking, Consumable, 15000, Rare
Manual_GoblinCooking, Consumable, 10000, Rare
Manual_Recipe_Aspic 1, Consumable, 20, Common
Manual_Recipe_BananaSulfs, Consumable, 20, Common
Manual_Recipe_BarkBread, Consumable, 20, Common
Manual_Recipe_BeefJerky_5 3, Consumable, 20, Common
Manual_Recipe_Broth_1, Consumable, 20, Common
Manual_Recipe_Broth_3, Consumable, 20, Common
Manual_Recipe_Butter_1, Consumable, 20, Common
Manual_Recipe_Butter_2, Consumable, 20, Common
Manual_Recipe_Cheese 9, Consumable, 20, Common
Manual_Recipe_Cheeseburger_1 2, Consumable, 20, Common
Manual_Recipe_CheeseburgerDouble_1 2, Consumable, 20, Common
Manual_Recipe_CheeseTops_1, Consumable, 20, Common
Manual_Recipe_ChickenNuggets, Consumable, 20, Common
Manual_Recipe_ChocolateBall_1, Consumable, 20, Common
Manual_Recipe_ChocolateSyrup_1, Consumable, 20, Common
Manual_Recipe_CordonBleu, Consumable, 20, Common
Manual_Recipe_CuissesDeGrenouille_1, Consumable, 20, Common
Manual_Recipe_CurryWurst 4, Consumable, 20, Common
Manual_Recipe_Dammsugare, Consumable, 20, Common
Manual_Recipe_Dimmies, Consumable, 20, Common
Manual_Recipe_EggToddy_1, Consumable, 20, Common
Manual_Recipe_Escargot_1, Consumable, 20, Common
Manual_Recipe_ExtraLung_1, Consumable, 20, Common
Manual_Recipe_ExtraLung_2, Consumable, 20, Common
Manual_Recipe_FishnChips 1, Consumable, 20, Common
Manual_Recipe_Fondue_1, Consumable, 20, Common
Manual_Recipe_FrenchHotdog_2, Consumable, 20, Common
Manual_Recipe_FrenchToast_1, Consumable, 20, Common
Manual_Recipe_FullEnglishBreakfast_1 1, Consumable, 20, Common
Manual_Recipe_FullEnglishBreakfast_1 2, Consumable, 20, Common
Manual_Recipe_Gonster, Consumable, 20, Common
Manual_Recipe_GreenGlob, Consumable, 20, Common
Manual_Recipe_GreenGlob_1, Consumable, 20, Common
Manual_Recipe_Gum_2, Consumable, 20, Common
Manual_Recipe_Gum_3, Consumable, 20, Common
Manual_Recipe_HardBread_1, Consumable, 20, Common
Manual_Recipe_HolyToast_1, Consumable, 20, Common
Manual_Recipe_Hotpot, Consumable, 20, Common
Manual_Recipe_Hotpot 2, Consumable, 20, Common
Manual_Recipe_Hotpot 3, Consumable, 20, Common
Manual_Recipe_Hotpot 4, Consumable, 20, Common
Manual_Recipe_Jam_1, Consumable, 20, Common
Manual_Recipe_Jello 1, Consumable, 20, Common
Manual_Recipe_KidneyPie_1, Consumable, 20, Common
Manual_Recipe_KidneyStone_1, Consumable, 20, Common
Manual_Recipe_KidneyStone_2, Consumable, 20, Common
Manual_Recipe_Leverpastej_1, Consumable, 20, Common
Manual_Recipe_Leverpastejsmacka 1, Consumable, 20, Common
Manual_Recipe_MacNCheese 2, Consumable, 20, Common
Manual_Recipe_Maki_1, Consumable, 20, Common
Manual_Recipe_Marshmellow 4, Consumable, 20, Common
Manual_Recipe_MashedPotatoes_1, Consumable, 20, Common
Manual_Recipe_Mochi_1, Consumable, 20, Common
Manual_Recipe_Mudcake_1, Consumable, 20, Common
Manual_Recipe_MushroomOmelette_2, Consumable, 20, Common
Manual_Recipe_MushroomsFried_1, Consumable, 20, Common
Manual_Recipe_MushroomsFriedSimple 1, Consumable, 20, Common
Manual_Recipe_MushroomSoup_1 1, Consumable, 20, Common
Manual_Recipe_MushroomSoup_4, Consumable, 20, Common
Manual_Recipe_MushroomSoupBroth_6, Consumable, 20, Common
Manual_Recipe_MushroomsSkewer_2, Consumable, 20, Common
Manual_Recipe_MysteryMeat_2 2, Consumable, 20, Common
Manual_Recipe_MysteryMeat_2 3, Consumable, 20, Common
Manual_Recipe_NashvilleHotChicken 3, Consumable, 20, Common
Manual_Recipe_Nigiri_1, Consumable, 20, Common
Manual_Recipe_Omelette_1, Consumable, 20, Common
Manual_Recipe_OmeletteButter, Consumable, 20, Common
Manual_Recipe_OmeletteCheese_1, Consumable, 20, Common
Manual_Recipe_OnigiriFlesh_1, Consumable, 20, Common
Manual_Recipe_PeanutButter_2 1, Consumable, 20, Common
Manual_Recipe_Polsa_1, Consumable, 20, Common
Manual_Recipe_Polsa_10, Consumable, 20, Common
Manual_Recipe_Porridge_1, Consumable, 20, Common
Manual_Recipe_Poutine, Consumable, 20, Common
Manual_Recipe_Ramen_2, Consumable, 20, Common
Manual_Recipe_Raqlette, Consumable, 20, Common
Manual_Recipe_RhubarbPie_1, Consumable, 20, Common
Manual_Recipe_RhubarbPorridge_1, Consumable, 20, Common
Manual_Recipe_RiceCakes_2, Consumable, 20, Common
Manual_Recipe_Sandwich_1, Consumable, 20, Common
Manual_Recipe_Sashimi_1, Consumable, 20, Common
Manual_Recipe_SashimiSandFish_1, Consumable, 20, Common
Manual_Recipe_Sausage 3, Consumable, 20, Common
Manual_Recipe_Sausage 4, Consumable, 20, Common
Manual_Recipe_Sausage 7, Consumable, 20, Common
Manual_Recipe_SausageOnStick 1, Consumable, 20, Common
Manual_RobotCooking, Consumable, 30000, Epic
ValuableCarStereo, Misc, 1600, Common
ValuableCrawGuano, Misc, 1600, Common
ValuableDiamondRing, Misc, 6000, Common
ValuableDriversLicense, Misc, 1000, Common
ValuableDVDPlayer, Misc, 2400, Common
ValuableFamousPainting, Misc, 16000, Common
ValuableFancyWatch, Misc, 6000, Common
ValuableFineChina, Misc, 3500, Common
ValuableFlatscreenTV, Misc, 14000, Common
ValuableGamingLaptop, Misc, 4000, Common
ValuableGoldChain, Misc, 2300, Common
ValuableGoldenFigurine, Misc, 5000, Common
ValuableGoldenTicket, Misc, 10000, Common
ValuableMinidisc, Misc, 1500, Common
ValuableMP3Player, Misc, 1100, Common
ValuableOldVintage, Misc, 3800, Common
ValuableOrnamentalVase, Misc, 4000, Common
ValuablePokerChips, Misc, 800, Common
ValuableQuaintLittleSpoon, Misc, 800, Common
ValuableShavwaSoap, Misc, 1000, Common
ValuableSmartphone, Misc, 2000, Common
ValuableSoulResin, Misc, 900, Common
ValuableTheCost, Misc, 800, Common
Weapon_Arbiter2, Weapon, 600, Common
Weapon_Arbiter2NotUse, Weapon, 600, Common
Weapon_Augusta, Weapon, 3000, Rare
Weapon_Balthazar, Weapon, 3200, Epic
Weapon_Beck, Weapon, 1800, Uncommon
Weapon_Bo, Weapon, 4000, Common
Weapon_Breacher8, Weapon, 1900, Rare
Weapon_Bronco, Weapon, 1500, Uncommon
Weapon_BurnerPhone, Gadget, 200, Uncommon
Weapon_Catacoil, Weapon, 8000, Epic
Weapon_Corpsemaker, Weapon, 4000, Rare
Weapon_CryoGrenade, Gadget, 150, Common
Weapon_D4RT, Weapon, 3200, Epic
Weapon_DeathStar, Weapon, 3200, Epic
Weapon_Dirk, Weapon, 1, Common
Weapon_Dolphin99, Weapon, 3200, Uncommon
Weapon_Drifter9, Weapon, 500, Common
Weapon_Duhar, Weapon, 8000, Rare
Weapon_Dynamite, Gadget, 200, Uncommon
Weapon_Farsight, Weapon, 5500, Epic
Weapon_Ferryman, Weapon, 9000, Rare
Weapon_FlickerZip, Weapon, 2000, Rare
Weapon_Flock, Weapon, 3500, Rare
Weapon_Gravekeeper, Weapon, 1000, Common
Weapon_ImpalaGravita, Weapon, 3200, Rare
Weapon_JarOfLove, Gadget, 100, Common
Weapon_Katana, Weapon, 4200, Common
Weapon_Knop, Weapon, 1500, Common
Weapon_M11Ramshack, Weapon, 7700, Epic
Weapon_Majordome, Weapon, 8000, Rare
Weapon_Mario, Weapon, 1200, Common
Weapon_MolotovCocktail, Gadget, 100, Common
Weapon_Mossman, Weapon, 1500, Uncommon
Weapon_NeuraxisF22, Weapon, 5000, Legendary
Weapon_Nunchaku, Weapon, 3500, Common
Weapon_PalehorseTopclipper, Weapon, 3000, Epic
Weapon_PierreFusil, Weapon, 5000, Uncommon
Weapon_PineappleGrenade, Gadget, 200, Common
Weapon_PloikaC, Weapon, 910, Common
Weapon_PoisonGrenade, Gadget, 100, Common
Weapon_ProximityMine, Gadget, 400, Rare
Weapon_RamshackOld_NOT_USED, Weapon, 1000, Common
Weapon_Rektor, Weapon, 8000, Legendary
Weapon_Rokua, Weapon, 7000, Legendary
Weapon_Sai, Weapon, 3800, Common
Weapon_Salamander, Weapon, 5000, Rare
Weapon_Snowball, Gadget, 50, Common
Weapon_Snut38, Weapon, 500, Common
Weapon_Socom9, Weapon, 1900, Rare
Weapon_StarAndWitness, Weapon, 2500, Rare
Weapon_StickGrenade, Gadget, 200, Common
Weapon_SulfurGrenade, Gadget, 50, Common
Weapon_TailorMarksman, Weapon, 3500, Uncommon
Weapon_Termite, Weapon, 1400, Uncommon
Weapon_ThrowingKnives, Gadget, 50, Common
Weapon_Typhoon, Weapon, 5000, Epic
Weapon_Unknown, Weapon, 2400, Rare
Weapon_Valet, Weapon, 4800, Rare
Weapon_Vrede, Weapon, 3000, Rare
Weapon_Wakizashi, Weapon, 1, Common
Weapon_WyattPulsar, Weapon, 2000, Rare
Weapon_WyattPulsarNotUse, Weapon, 2000, Rare
Stamp, Consumable, 100, Common
Item_BaptismalFont, Misc, 10, Legendary
Item_BulkAmmoBox, Misc, 10, Legendary
Item_Chrismatory, Misc, 30, Legendary
Item_GunCabinet, Misc, 25, Legendary
Item_SnakeBasket, Misc, 10, Legendary
Weapon_Longboy, Weapon, 9000, Uncommon
Item_Toiletpaper, Misc, 100, Common
Item_Toilet, Misc, 18, Legendary
Item_Painting1, Misc, 5, Legendary
Item_Painting2, Misc, 5, Legendary
Item_Painting3, Misc, 5, Legendary
Item_Painting4, Misc, 5, Legendary
Item_HolorealityProjector, Misc, 50, Legendary
Item_ChristmatoryRefresh, Misc, 32000, Legendary
Item_DeliveryDemonRefresh, Misc, 32000, Legendary
Item_DeliveryDemon, Misc, 35, Legendary
Weapon_HellnBack, Weapon, 3000, Rare
Weapon_Wingman, Weapon, 6000, Rare
Item_AddBanish, Consumable, 2, Legendary
Item_AddChoiceDraw, Consumable, 20, Legendary
Item_AddReroll, Consumable, 5, Legendary
Weapon_Warpig, Weapon, 7000, Epic
Weapon_Cavalier, Weapon, 4000, Uncommon
Currency_SulfGrand, Consumable, 1000, Common
Weapon_Chat-Pardeur98, Weapon, 3500, Epic
Weapon_Songbird, Weapon, 6500, Common
Weapon_SocomACR, Weapon, 3500, Common
Item_SulfCola, Consumable, 30, 300, Common
Item_Pilk, Consumable, 60, 400, Common
Item_Coffin, Misc, 20, Legendary
Item_WallMount0, Misc, 10, Legendary
Item_WallMount1, Misc, 10, Legendary
Item_WallMount2, Misc, 10, Legendary
Attachment_LaserSightBone, Attachment, 500, Uncommon
Attachment_LaserSightDenimBlue, Attachment, 500, Uncommon
Attachment_LaserSightLightBlue, Attachment, 500, Uncommon
Attachment_LaserSightLime, Attachment, 500, Uncommon
Attachment_LaserSightMagenta, Attachment, 500, Uncommon
Attachment_LaserSightOrange, Attachment, 500, Uncommon
Attachment_LaserSightPurple, Attachment, 500, Uncommon
Attachment_LaserSightRosePink, Attachment, 500, Uncommon
Attachment_LaserSightTangerine, Attachment, 500, Uncommon
Attachment_LaserSightTeal, Attachment, 500, Uncommon
Attachment_LaserSightPoop, Attachment, 500, Uncommon
Attachment_LaserSightGold, Attachment, 10000, Uncommon
Weapon_TerrierURB, Weapon, 3000, Common
Weapon_Blackwater, Weapon, 3200, Epic
Weapon_ChimeraRapid, Weapon, 4000, Rare
Weapon_CYB47, Weapon, 2400, Rare
Weapon_DeathsToll, Weapon, 3200, Epic
Weapon_MoneyStack, Gadget, 200, Uncommon
